,Gene.stable.ID,Gene.stable.ID.version,Transcript.stable.ID,Transcript.stable.ID.version,Exon.region.start..bp.,Exon.region.end..bp.,Exon.rank.in.transcript,cDNA.coding.start,cDNA.coding.end,CDS.start,CDS.end,Genomic.coding.start,Genomic.coding.end,Gene.name,Gene.start..bp.,Gene.end..bp.,Transcript.start..bp.,Transcript.end..bp.,Transcription.start.site..TSS.,Transcript.length..including.UTRs.and.CDS.,Strand,X5..UTR.start,X5..UTR.end,X3..UTR.start,X3..UTR.end,CDS.Length,Transcript.count
1,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70084094,70084165,2,111,182,82,153,70084094,70084165,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,NA,NA,885,11
2,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70086644,70086763,3,183,302,154,273,70086644,70086763,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,NA,NA,885,11
3,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70087613,70087813,4,303,503,274,474,70087613,70087813,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,NA,NA,885,11
4,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70087973,70088125,5,504,656,475,627,70087973,70088125,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,NA,NA,885,11
5,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70091319,70091429,7,753,863,724,834,70091319,70091429,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,NA,NA,885,11
6,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70089913,70090008,6,657,752,628,723,70089913,70090008,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,NA,NA,885,11
7,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70070332,70070441,1,30,110,1,81,70070361,70070441,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,70070332,70070360,NA,NA,885,11
8,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70091959,70092067,8,864,914,835,885,70091959,70092009,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,70092010,70092067,885,11
9,ENSG00000273772,ENSG00000273772.4,ENST00000631104,ENST00000631104.2,70097696,70098273,9,NA,NA,NA,NA,NA,NA,SMN2,70070287,70099184,70070332,70098273,70070332,1550,1,NA,NA,70097696,70098273,885,11
10,ENSG00000277773,ENSG00000277773.4,ENST00000612446,ENST00000612446.4,69702421,69702530,1,30,110,1,81,69702421,69702501,SMN2,69673667,69702549,69674593,69702530,69702530,1550,-1,69702502,69702530,NA,NA,885,12
